R,surv_threshold,n_mites,correct_id
0.1,6,1000,0.9394
0.2,6,1000,0.9456
0.3,6,1000,0.9472
0.5,6,1000,0.9468
0.8,6,1000,0.9478
1.0,6,1000,0.948
0.01,7,1000,0.5092
0.05,7,1000,0.6338
0.1,7,1000,0.965
0.2,7,1000,0.9782
0.3,7,1000,0.974
0.5,7,1000,0.9766
0.8,7,1000,0.9786
1.0,7,1000,0.9778
0.01,8,1000,0.4958
0.05,8,1000,0.5936
0.1,8,1000,0.9562
0.2,8,1000,0.9894
0.3,8,1000,0.9904
0.5,8,1000,0.9912
0.8,8,1000,0.9908
1.0,8,1000,0.9914
0.01,9,1000,0.5032
0.05,9,1000,0.5552
0.1,9,1000,0.9408
0.2,9,1000,0.996
0.3,9,1000,0.9968
0.5,9,1000,0.9964
0.8,9,1000,0.9972
1.0,9,1000,0.9972
0.01,10,1000,0.4952
0.05,10,1000,0.5328
0.1,10,1000,0.8888
0.2,10,1000,0.9992
0.3,10,1000,0.9994
0.5,10,1000,0.9988
0.8,10,1000,0.9988
1.0,10,1000,0.9988
